mm,dd,hr,vd,NOT_EXIST
3,99,9,0.005903852,0.005903852
3,99,10,0.010156561,0.010156561
3,99,11,0.010584732,0.010584732
3,99,12,0.007766779,0.007766779
3,99,13,0.013145338,0.013145338
3,99,14,0.011826499,0.011826499
3,99,15,0.0132044,0.0132044
3,99,16,0.009333498,0.009333498
3,99,17,0.012674872,0.012674872
3,99,18,0.006336526,0.006336526
3,99,19,0.006045386,0.006045386
3,99,20,0.008049355,0.008049355
3,99,21,0.010105939,0.010105939
3,99,22,0.002189976,0.002189976
3,99,23,0.008454505,0.008454505
3,100,0,0.006301036,0.006301036
3,100,1,0.003943355,0.003943355
3,100,2,0.001433716,0.001433716
3,100,3,0.005300946,0.005300946
3,100,4,0.007900562,0.007900562
3,100,5,0.004139181,0.004139181
3,100,6,0.008261741,0.008261741
3,100,7,0.001868169,0.001868169
3,100,8,0.0063752,0.0063752
3,100,9,0.005672843,0.005672843
3,100,10,0.00690749,0.00690749
3,100,11,0.010865695,0.010865695
3,100,12,0.008869058,0.008869058
3,100,13,0.012390795,0.012390795
3,100,14,0.011760091,0.011760091
3,100,15,0.009723573,0.009723573
3,100,16,0.01208225,0.01208225
3,100,17,0.012177233,0.012177233
3,100,18,0.011362362,0.011362362
3,100,19,0.008071754,0.008071754
3,100,20,0.01349131,0.01349131
3,100,21,0.014340184,0.014340184
3,100,22,0.011745136,0.011745136
3,100,23,0.009230297,0.009230297
3,101,0,0.00866868,0.00866868
3,101,1,0.012886851,0.012886851
3,101,2,0.011415391,0.011415391
3,101,3,0.014302411,0.014302411
3,101,4,0.013852508,0.013852508
3,101,5,0.01140778,0.01140778
3,101,6,0.007125306,0.007125306
3,101,7,0.010890406,0.010890406
3,101,8,0.007532913,0.007532913
3,101,9,0.008675745,0.008675745
3,101,10,0.011195373,0.011195373
3,101,11,0.011010631,0.011010631
3,101,12,0.010459695,0.010459695
3,101,13,0.012072922,0.012072922
3,101,14,0.011085317,0.011085317
3,101,15,0.012951795,0.012951795
3,101,16,0.011295458,0.011295458
3,101,17,0.009545285,0.009545285
3,101,18,0.013676661,0.013676661
3,101,19,0.010706391,0.010706391
3,101,20,0.007661832,0.007661832
3,101,21,0.009552505,0.009552505
3,101,22,0.013173346,0.013173346
3,101,23,0.013795574,0.013795574
3,102,0,0.009696829,0.009696829
3,102,1,0.009843527,0.009843527
3,102,2,0.01464968,0.01464968
3,102,3,0.01025995,0.01025995
3,102,4,0.00878069,0.00878069
3,102,5,0.009029681,0.009029681
3,102,6,0.015160693,0.015160693
3,102,7,0.008440416,0.008440416
3,102,8,0.013499005,0.013499005
3,102,9,0.016479083,0.016479083
3,102,10,0.015553318,0.015553318
3,102,11,0.012934867,0.012934867
3,102,12,0.013778521,0.013778521
3,102,13,0.01247472,0.01247472
3,102,14,0.007445779,0.007445779
3,102,15,0.007335234,0.007335234
3,102,16,0.006670912,0.006670912
3,102,17,0.00769995,0.00769995
3,102,18,0.013242032,0.013242032
3,102,19,0.011741094,0.011741094
3,102,20,0.010478366,0.010478366
3,102,21,0.00827201,0.00827201
3,102,22,0.006006791,0.006006791
3,102,23,0.004012493,0.004012493
